"","Species_Richness","Median_DBH.cm.","Grass_Cover_."
"Forest_1",5,4.5,0
"Forest_2",6,1.65,0
"Forest_3",7,1.9,0
"Forest_Edge_Interior_1",5,2.1,10
"Forest_Edge_Interior_2",5,5.4,0
"Forest_Edge_Interior_3",6,1.8,5
"Forest_Edge_Exterior_1",4,1.3,40
"Forest_Edge_Exterior_2",3,0,8
"Forest_Edge_Exterior_3",3,3,65
"Pioneer_Near_1",9,1,0
"Pioneer_Near_2",5,0.9,0
"Pioneer_Near_3",6,1.05,0
"Pioneer_Far_1",6,2.1,10
"Pioneer_Far_2",5,2.8,0
"Pioneer_Far_3",5,7.5,22
"Grass_Near_1",4,5.25,40.5
"Grass_Near_2",4,1,52
"Grass_Near_3",4,1.8,52
"Grass_Far_1",3,0,90
"Grass_Far_2",3,0,75
"Grass_Far_3",3,0,105
